network,edge_id,source,source_type,target,target_type,sign,effect,mechanism,n_evidence,doi_list
Shoot Branching,N001,Decapitation,ENVIRONMENT,Auxin,HORMONE,-1,inhibition,BRC1-dependent activation of ABI1 (PP2C ABA receptor partner) in dormant buds; among 26 ABA-related BRC1-dependent genes,1,10.4161/psb.27994
Shoot Branching,N002,Auxin,HORMONE,CCD7,GENE,1,activation,Auxin upregulates MAX3/CCD7 expression in AXR1-dependent manner,10,10.1104/pp.109.137646; 10.1104/pp.108.134783; 10.1371/journal.pgen.1007089; doi; title; authors; year; journal; evidence_sentence; claim
Shoot Branching,N003,Auxin,HORMONE,CCD8,GENE,1,activation,Auxin upregulates MAX4/CCD8 expression in AXR1-dependent manner,10,10.1104/pp.109.137646; 10.1104/pp.108.134783; 10.1371/journal.pgen.1007089; doi; title; authors; year; journal; evidence_sentence; claim
Shoot Branching,N004,CCD7,GENE,Strigolactone,HORMONE,1,activation,Carotenoid cleavage dioxygenase 8 (MAX4),1,10.1073/pnas.1601729113
Shoot Branching,N005,CCD8,GENE,Strigolactone,HORMONE,1,activation,CCD8/MAX4 catalyzes carotenoid cleavage in SL biosynthesis,9,10.1104/pp.109.137646; 10.1093/pcp/pcad088; doi; title; authors; year; journal; evidence_sentence; claim
Shoot Branching,N006,D27,GENE,Strigolactone,HORMONE,1,activation,D14 directly targets SMXL7 for ubiquitination,1,10.1105/tpc.15.00562
Shoot Branching,N007,MAX1,GENE,Strigolactone,HORMONE,1,activation,Cytochrome P450 oxidizes carlactone to carlactonoic acid,4,10.1073/pnas.1601729113; 10.1093/pcp/pcad088; 10.1093/jxb/erad412; 10.1093/jxb/erx434
Shoot Branching,N008,LBO,GENE,Strigolactone,HORMONE,1,activation,2-OGD oxidoreductase; final known enzymatic step,2,10.1073/pnas.1601729113; 10.1093/pcp/pcad088
Shoot Branching,N009,Decapitation,ENVIRONMENT,Strigolactone,HORMONE,-1,inhibition,"BRC1 lowers the basal (non-polar) rate of auxin efflux from buds; in Arabidopsis BRC1 does not directly transcriptionally target PIN3 (unlike cucumber), instead acting on broader efflux machinery and via auxin conjugation through GH3.5.",1,10.1371/journal.pbio.3003395
Shoot Branching,N010,Sucrose,METABOLITE,Strigolactone,HORMONE,-1,inhibition,"SPLAYED (SYD), a SWI/SNF chromatin-remodeling ATPase, is required for SL-mediated transcriptional induction of BRC1",1,10.1111/tpj.16873
Shoot Branching,N011,Nitrogen,ENVIRONMENT,Strigolactone,HORMONE,-1,inhibition,Nitrate upregulates IPT expression promoting CK biosynthesis,8,10.1104/pp.109.135475; doi; title; authors; year; journal; evidence_sentence; claim
Shoot Branching,N012,GA,HORMONE,MAX1,GENE,-1,inhibition,GA3/GA4 downregulate MAX1.2 SL biosynthesis gene (cross-hormone SL-GA antagonism),7,doi; title; authors; year; journal; evidence_sentence; claim
Shoot Branching,N013,Strigolactone,HORMONE,D14,GENE,1,activation,SL via MAX2 degrades BES1 protein,1,10.1016/j.xplc.2019.100014
Shoot Branching,N014,D14,GENE,D14,GENE,-1,inhibition,D14 hydrolyzes SL and self-degrades after perception (Motif 6),1,10.1126/sciadv.abn5057
Shoot Branching,N015,D14,GENE,SMXL678,PROTEIN_COMPLEX,-1,inhibition,Activated D14 targets SMXL678 for ubiquitination (Perception Gate co-inhibitor 1),1,10.1038/s41467-018-08124-7
Shoot Branching,N016,MAX2,GENE,SMXL678,PROTEIN_COMPLEX,-1,inhibition,Constitutive MAX2 F-box SCF ubiquitinates SMXL678 (Perception Gate co-inhibitor 2),8,10.1105/tpc.112.108480; doi; title; authors; year; journal; evidence_sentence; claim
Shoot Branching,N017,MAX2,GENE,BES1,GENE,-1,inhibition,MAX2-SCF independently ubiquitinates BES1 (Motif 5),7,doi; title; authors; year; journal; evidence_sentence; claim
Shoot Branching,N018,SMXL678,PROTEIN_COMPLEX,BRC1,GENE,-1,inhibition,SMXL678 represses BRC1 transcription via TPR2,1,10.1105/tpc.15.00605
Shoot Branching,N019,SMXL678,PROTEIN_COMPLEX,SPL9,GENE,-1,inhibition,SMXL678 physically inhibits SPL9 DNA-binding,1,10.1038/s41586-020-2382-x
Shoot Branching,N020,SMXL678,PROTEIN_COMPLEX,PIN1,GENE,1,activation,SMXL678 promotes PIN1 basal plasma membrane accumulation,1,10.1093/jxb/eraf027
Shoot Branching,N021,Strigolactone,HORMONE,CKX9,GENE,1,activation,SL induces CKX9. Trap 5 framework limitation: non-gated direct edge; signaling-mutant rescue tests for CKX9-mediated CK may mispredict.,1,10.1093/plphys/kiab071
Shoot Branching,N022,CKX9,GENE,Cytokinin,HORMONE,-1,inhibition,CK upregulates and polarizes PIN1,8,10.1093/aob/mcr069; doi; title; authors; year; journal; evidence_sentence; claim
Shoot Branching,N023,Auxin,HORMONE,GA,HORMONE,1,activation,"Elevated auxin in the bud increases gibberellin biosynthesis, supporting elongation.",7,doi; title; authors; year; journal; evidence_sentence; claim
Shoot Branching,N024,GA2OX,GENE,GA,HORMONE,-1,inhibition,GA2ox enzymes 2-beta-hydroxylate and inactivate bioactive GA1/GA4.,7,doi; title; authors; year; journal; evidence_sentence; claim
Shoot Branching,N025,GA,HORMONE,GA2OX,GENE,1,activation,GA induces own catabolism via GA2OX (Motif 2 stabilizing negative feedback),7,doi; title; authors; year; journal; evidence_sentence; claim
Shoot Branching,N026,GA,HORMONE,DELLA,PROTEIN_COMPLEX,-1,inhibition,GA promotes DELLA protein degradation via ubiquitin-proteasome pathway,8,10.1111/jipb.12818; doi; title; authors; year; journal; evidence_sentence; claim
Shoot Branching,N027,DELLA,PROTEIN_COMPLEX,SPL9,GENE,-1,inhibition,"DELLA proteins sequester SPL9, preventing its activation of BRC1",1,10.1111/jipb.12818
Shoot Branching,N028,miR156,REGULATORY_RNA,SPL9,GENE,-1,inhibition,MAX2 (F-box of SCF complex) polyubiquitinates SMXL6/7/8 upon SL perception; SMXL6/7/8 are then degraded by 26S proteasome,9,10.3389/fpls.2022.887232; 10.3389/fpls.2022.889045; doi; title; authors; year; journal; evidence_sentence; claim
Shoot Branching,N029,Low_R_FR,ENVIRONMENT,FHY3,GENE,-1,inhibition,Shade upregulates HB21 in buds,1,10.1073/pnas.1613199114
Shoot Branching,N030,FHY3,GENE,SMXL678,PROTEIN_COMPLEX,1,activation,FHY3 directly binds SMXL6/7 promoters to activate transcription (Motif 3 path 1),7,doi; title; authors; year; journal; evidence_sentence; claim
Shoot Branching,N031,FHY3,GENE,SPL9,GENE,-1,inhibition,FHY3 inhibits SPL9 DNA-binding (Motif 3 path 2),1,10.1104/pp.104.057984
