source,source_type,target,target_type,effect,edge_type,confidence,mechanism,doi,paper_title,authors,year,journal,evidence_sentence,verification,species_validated
Light,ENVIRONMENT,SbPhyB,GENE,activation,signal_perception,HIGH,Red light activates phytochrome B photoreceptor; Pfr form accumulates in light.,,,,,,ma3 sorghum lacks a 123-KD phytochrome that predominates in light-grown plants and that is present in non-ma3 plants.,,
Light,ENVIRONMENT,SbPhyA,GENE,activation,signal_perception,MEDIUM,Far-red light activates phytochrome A photoreceptor. SbPhyA is one of three sorghum phytochromes on chr 1.,,,,,,"SBI-01 (where PHYA, PHYB and PHYC are located)",,
Light,ENVIRONMENT,SbPhyC,GENE,activation,signal_perception,HIGH,Phytochrome C is activated by red light; Ma5 locus encodes SbPhyC.,,,,,,"Ma5 = SbPhyC (Sobic.001G087100, Chr01)",,
Blue_Light,ENVIRONMENT,SbCRY1,GENE,activation,signal_perception,MEDIUM,Cryptochrome 1 perceives blue light; DNA-photolyase domain required for activity.,,,,,,CRY1-b1 SNP722...Located in DNA photolyase domain; affects blue light reception capacity.,,
Blue_Light,ENVIRONMENT,SbFKF1,GENE,activation,signal_perception,HIGH,"SbFKF1/SbFFL contains a LOV domain that forms a covalent adduct with FMN upon blue-light illumination, activating the F-box protein to recruit substrates via SCF ubiquitin ligase.",,,,,,"SbGI physically interacts with the sorghum FKF1-like (SbFFL) protein, and the SbGI-SbFFL interaction is stimulated by blue light.",,
SbPhyB,GENE,SbPRR37,GENE,activation,transcriptional,HIGH,PhyB (Ma3) is required for evening-light activation of SbPRR37 in long days; loss of PhyB eliminates the evening expression peak of SbPRR37.,,,,,,PhyB is required for light activation of SbPRR37 and SbGHD7 expression in the evening of long days.,,
SbPhyB,GENE,SbGhd7,GENE,activation,transcriptional,HIGH,PhyB activates SbGhd7 expression through evening-phase light signaling in long days.,,,,,,"Sorghum phytochrome B inhibits flowering in long days by activating expression of SbPRR37 and SbGHD7, repressors of SbEHD1, SbCN8 and SbCN12.",,
SbPhyB,GENE,SbFT1,GENE,repression,transcriptional,HIGH,PhyB represses SbCN15 (SbFT1 = Hd3a-subclade florigen) via a mechanism that is PRR37/Ghd7-independent and photoperiod-independent. Loss of PhyB causes ~60-fold upregulation of SbCN15.,,,,,,PhyB mediated repression of SbCN15 expression occurs regardless of photoperiod.,,
SbPhyC,GENE,SbPRR37,GENE,activation,transcriptional,MEDIUM,Phytochrome C (Ma5) acts together with PhyB to delay flowering in LD through activation of floral repressors; PhyC-light signaling contributes to PRR37 activation.,,,,,,Ma5 encodes phytochrome C (phyC)...acts as a photoperiod-dependent flowering repressor.,,
SbPhyC,GENE,SbGhd7,GENE,activation,transcriptional,MEDIUM,"PhyC contributes to evening-light signaling that activates Ghd7 in LD, parallel to PhyB.",,,,,,"The other photoreceptor, Phytochrome C (PhyC), is proposed as the candidate gene for the Ma5 (SbPhyC) locus.",,
SbCCA1,GENE,SbTOC1,GENE,repression,transcriptional,MEDIUM,Conserved circadian oscillator: morning-phased CCA1 binds EE elements in the TOC1 promoter and represses its transcription.,,,,,,"LHY, CCA1, TOC1 (circadian oscillator).",,
SbTOC1,GENE,SbCCA1,GENE,repression,transcriptional,MEDIUM,"Evening-phased TOC1 represses CCA1 transcription, completing the core oscillator feedback loop.",,,,,,"LHY, CCA1, TOC1 (circadian oscillator).",,
