network,edge_id,source,source_type,target,target_type,sign,effect,mechanism,n_evidence,doi_list
Lateral Root Density,N001,TAA1,GENE,Auxin,HORMONE,1,activation,TAA1 aminotransferase converts Trp to IPA in IAA biosynthesis pathway,1,10.1073/pnas.1108434108
Lateral Root Density,N002,TAR2,GENE,Auxin,HORMONE,1,activation,TAR2 aminotransferase contributes to IAA biosynthesis under low N,1,10.1111/tpj.12448
Lateral Root Density,N003,YUC4,GENE,Auxin,HORMONE,1,activation,YUC4 flavin monooxygenase converts IPA to IAA,1,10.1101/cshperspect.a039933
Lateral Root Density,N004,AUX1,GENE,Auxin,HORMONE,1,activation,AUX1 auxin influx carrier facilitates shoot-derived IAA loading into vasculature,1,10.1101/cshperspect.a039933
Lateral Root Density,N005,GH3,GENE,Auxin,HORMONE,-1,inhibition,GH3 acyl amidosynthetases conjugate IAA to amino acids (inactive),1,10.1101/cshperspect.a039933
Lateral Root Density,N006,DAO1,GENE,Auxin,HORMONE,-1,inhibition,DAO1 dioxygenase oxidizes IAA to inactive oxIAA,1,10.1101/cshperspect.a039933
Lateral Root Density,N007,Low_Nitrate,ENVIRONMENT,TAR2,GENE,1,activation,Low N stimulates TAR2 auxin biosynthesis gene,1,10.3390/genes11060633
Lateral Root Density,N008,CHL1,GENE,TAR2,GENE,-1,inhibition,NRT1.1 represses TAR2 auxin biosynthesis gene,1,10.1101/cshperspect.a039941
Lateral Root Density,N009,Auxin,HORMONE,TIR1,GENE,1,activation,Auxin binds TIR1/AFB F-box co-receptor to form SCF complex with Aux/IAA substrate,1,10.7554/eLife.54740
Lateral Root Density,N010,Low_Phosphate,ENVIRONMENT,TIR1,GENE,1,activation,Low Pi upregulates TIR1 to increase auxin sensitivity,1,10.1101/cshperspect.a039933
Lateral Root Density,N011,TIR1,GENE,IAA14,GENE,-1,inhibition,SCF-TIR1 ubiquitinates IAA14 for 26S proteasomal degradation in presence of auxin,1,10.1101/cshperspect.a039933
Lateral Root Density,N012,TIR1,GENE,IAA28,GENE,-1,inhibition,SCF-TIR1 degradation of IAA28,1,10.1101/cshperspect.a039933
Lateral Root Density,N013,IAA14,GENE,ARF7,GENE,-1,inhibition,IAA14 physically binds ARF7 via PB1 domain to repress its transcriptional activity,1,10.1101/cshperspect.a039941
Lateral Root Density,N014,IAA14,GENE,ARF19,GENE,-1,inhibition,IAA14 physically binds ARF19 to repress its activity,1,10.3390/ijms20030486
Lateral Root Density,N015,IAA28,GENE,ARF7,GENE,-1,inhibition,IAA28 represses ARF6/7/8/19 in basal meristem for founder cell specification,1,10.1101/cshperspect.a039933
Lateral Root Density,N016,IAA28,GENE,ARF19,GENE,-1,inhibition,IAA28 represses ARF19 activity in basal meristem,1,10.1101/cshperspect.a039933
Lateral Root Density,N017,ARF7,GENE,LBD,PROTEIN_COMPLEX,1,activation,ARF7 directly binds LBD16 promoter to activate transcription as primary auxin response [Edge represents composite family; evidence drawn from curated E018 (ARF7->LBD16).],1,10.1105/tpc.106.047761
Lateral Root Density,N018,ARF19,GENE,LBD,PROTEIN_COMPLEX,1,activation,ARF19 binds LBD16 promoter (minor contribution vs ARF7) [Edge represents composite family; evidence drawn from curated E021 (ARF19->LBD16).],1,10.1105/tpc.106.047761
Lateral Root Density,N019,ARF7,GENE,PLT,PROTEIN_COMPLEX,1,activation,ARF7 activates PLT3 in incipient LR primordia [Edge represents composite family; evidence drawn from curated E034 (ARF7->PLT3).],1,10.1073/pnas.1714410114
Lateral Root Density,N020,ARF19,GENE,PLT,PROTEIN_COMPLEX,1,activation,ARF19 redundantly activates PLT3 with ARF7 [Edge represents composite family; evidence drawn from curated E037 (ARF19->PLT3).],1,10.1073/pnas.1714410114
Lateral Root Density,N021,LBD,PROTEIN_COMPLEX,LAX3,GENE,1,activation,LBD29 directly activates LAX3 auxin influx carrier for cell separation [Edge represents composite family; evidence drawn from curated E027 (LBD29->LAX3).],1,10.1101/cshperspect.a039933
Lateral Root Density,N022,PLT,PROTEIN_COMPLEX,PIN,PROTEIN_COMPLEX,1,activation,PLT controls PIN1 expression and polar membrane localization in primordia [Edge represents composite family; evidence drawn from curated E041 (PLT3->PIN1).],1,10.1073/pnas.1714410114
Lateral Root Density,N023,Auxin,HORMONE,WOX11,GENE,1,activation,Auxin (IAA) directly induces WOX11 expression in regeneration-competent cells,1,10.1105/tpc.114.122887
Lateral Root Density,N024,WOX11,GENE,LBD,PROTEIN_COMPLEX,1,activation,WOX11/12 upregulate LBD16 to drive root founder cell fate transition [Edge represents composite family; evidence drawn from curated E221 (WOX11->LBD16).],1,10.1105/tpc.114.122887
Lateral Root Density,N025,ARF7,GENE,GATA23,GENE,1,activation,IAA28-ARF7 pathway activates GATA23 in oscillation zone,1,10.1101/cshperspect.a039941
Lateral Root Density,N026,IAA28,GENE,GATA23,GENE,-1,inhibition,IAA28 binds ARF6/7/8/19 preventing GATA23 activation,1,10.3390/ijms20030486
Lateral Root Density,N027,LBD,PROTEIN_COMPLEX,Lateral_Root_Density,PHENOTYPE,1,activation,LBD16 required for asymmetric division initiating LR primordium [Edge represents composite family; evidence drawn from curated E029 (LBD16->Lateral_Root_Density).],1,10.1105/tpc.106.047761
Lateral Root Density,N028,PLT,PROTEIN_COMPLEX,Lateral_Root_Density,PHENOTYPE,1,activation,PLT3 required for LR primordium outgrowth and proper spacing; loss causes clustering [Edge represents composite family; evidence drawn from curated E045 (PLT3->Lateral_Root_Density).],1,10.1073/pnas.1714410114
Lateral Root Density,N029,LAX3,GENE,Lateral_Root_Density,PHENOTYPE,1,activation,LAX3 required for LR emergence,1,10.3390/ijms20030486
Lateral Root Density,N030,PIN,PROTEIN_COMPLEX,Lateral_Root_Density,PHENOTYPE,1,activation,PIN2 mediates basipetal auxin reflux through epidermis [Edge represents composite family; evidence drawn from curated E066 (PIN2->Lateral_Root_Density).],1,10.1101/cshperspect.a039933
Lateral Root Density,N031,ANR1,GENE,Lateral_Root_Density,PHENOTYPE,1,activation,ANR1 MADS-box TF positively regulates LR elongation in nitrate patches,1,10.3390/genes11060633
Lateral Root Density,N032,GATA23,GENE,Lateral_Root_Density,PHENOTYPE,1,activation,GATA23 specifies xylem pole pericycle founder cell identity,1,10.1101/cshperspect.a039941
Lateral Root Density,N033,IPT5,GENE,Cytokinin,HORMONE,1,activation,IPT5 isopentenyltransferase catalyses cytokinin biosynthesis,1,10.3390/ijms20030486
Lateral Root Density,N034,CKX2,GENE,Cytokinin,HORMONE,-1,inhibition,CKX2 degrades cytokinin,1,10.1101/cshperspect.a039941
Lateral Root Density,N035,Cytokinin,HORMONE,AHK,PROTEIN_COMPLEX,1,activation,Cytokinin binds AHK2 histidine kinase receptor [Edge represents composite family; evidence drawn from curated E078 (Cytokinin->AHK2).],1,10.3390/ijms20030486
Lateral Root Density,N036,AHK,PROTEIN_COMPLEX,ARR_B,PROTEIN_COMPLEX,1,activation,AHK phosphorelay via AHPs activates type-B ARR1 TF [Edge represents composite family; evidence drawn from curated E081 (AHK2->ARR1).],1,10.3390/ijms20030486
Lateral Root Density,N037,ARR_B,PROTEIN_COMPLEX,Lateral_Root_Density,PHENOTYPE,-1,inhibition,ARR1 type-B mediates cytokinin inhibition of LR [Edge represents composite family; evidence drawn from curated E206 (ARR1->Lateral_Root_Density).],1,10.3390/ijms20030486
Lateral Root Density,N038,CHL1,GENE,NLP7,GENE,1,activation,NRT1.1 activates Ca2+ signaling that phosphorylates NLP7,1,10.3390/genes11060633
Lateral Root Density,N039,NLP7,GENE,ANR1,GENE,1,activation,NLP7 activates ANR1 downstream of Ca2+-CPK phosphorylation,1,10.3390/genes11060633
Lateral Root Density,N040,CHL1,GENE,ANR1,GENE,1,activation,NRT1.1 transceptor activates Ca2+-CPK-NLP7 axis to upregulate ANR1,1,10.3390/genes11060633
Lateral Root Density,N041,Low_Nitrate,ENVIRONMENT,CLE,PROTEIN_COMPLEX,1,activation,N deficiency (<100 uM NO3-) induces CLE3 transcription in pericycle [Edge represents composite family; evidence drawn from curated E217 (Low_Nitrate->CLE3).],1,10.1073/pnas.1319953111
Lateral Root Density,N042,CLE,PROTEIN_COMPLEX,CLV1,GENE,1,activation,CLE3 peptide (pericycle) diffuses apoplastically and binds CLV1 receptor on phloem companion cells [Edge represents composite family; evidence drawn from curated E211 (CLE3->CLV1).],1,10.1073/pnas.1319953111
Lateral Root Density,N043,CLV1,GENE,Lateral_Root_Density,PHENOTYPE,-1,inhibition,CLV1 phloem companion-cell receptor transduces CLE3 signal to repress LR emergence under low N,1,10.1073/pnas.1319953111
Lateral Root Density,N044,ACS,GENE,Ethylene,HORMONE,1,activation,ACS synthesises ACC from SAM,1,10.1111/j.1365-313X.2008.03495.x
Lateral Root Density,N045,ACO,GENE,Ethylene,HORMONE,1,activation,ACO oxidises ACC to ethylene,1,10.1111/j.1365-313X.2008.03495.x
Lateral Root Density,N046,Ethylene,HORMONE,EIN2,GENE,1,activation,Ethylene perception via ETR1 activates EIN2,1,10.1111/j.1365-313X.2008.03495.x
Lateral Root Density,N047,CTR1,GENE,EIN2,GENE,-1,inhibition,CTR1 kinase phosphorylates EIN2 to inhibit it in absence of ethylene,1,10.1111/j.1365-313X.2008.03495.x
Lateral Root Density,N048,EIN2,GENE,Lateral_Root_Density,PHENOTYPE,-1,inhibition,EIN2 required for ethylene-mediated LR inhibition,1,10.1111/j.1365-313X.2008.03495.x
Lateral Root Density,N049,ABA,HORMONE,PYL8,GENE,1,activation,ABA binds PYL8 receptor to activate signaling,1,10.1126/scisignal.2005051
Lateral Root Density,N050,PYL8,GENE,ABI1,GENE,-1,inhibition,PYL8-ABA complex inhibits ABI1 PP2C phosphatase,1,10.3390/genes11060633
Lateral Root Density,N051,ABI1,GENE,SNRK2,GENE,-1,inhibition,ABI1 PP2C dephosphorylates and inactivates SnRK2 kinases,1,10.1126/scisignal.2005051
Lateral Root Density,N052,SNRK2,GENE,ABI4_5,PROTEIN_COMPLEX,1,activation,SnRK2 kinases activate downstream ABI TFs [Edge represents composite family; evidence drawn from curated E149 (SNRK2->ABI4).],1,10.1126/scisignal.2005051
Lateral Root Density,N053,ABA,HORMONE,ABI4_5,PROTEIN_COMPLEX,1,activation,ABA induces ABI5 bZIP TF via PYL/PP2C/SnRK2 core module [Edge represents composite family; evidence drawn from curated E247 (ABA->ABI5).],1,10.3389/fpls.2016.01884
Lateral Root Density,N054,ABI4_5,PROTEIN_COMPLEX,Lateral_Root_Density,PHENOTYPE,-1,inhibition,ABI4 inhibits LR initiation and elongation via PIN1 reduction [Edge represents composite family; evidence drawn from curated E140 (ABI4->Lateral_Root_Density).],1,10.1105/tpc.110.074641
Lateral Root Density,N055,GA,HORMONE,DELLA,GENE,-1,inhibition,GA-GID1 complex triggers DELLA ubiquitination and degradation,1,10.1111/j.1469-8137.2011.03723.x
Lateral Root Density,N056,DELLA,GENE,Lateral_Root_Density,PHENOTYPE,-1,inhibition,DELLA represses LR development under low-K,1,10.1111/j.1469-8137.2011.03723.x
Lateral Root Density,N057,MAX1,GENE,Strigolactone,HORMONE,1,activation,MAX1 cytochrome P450 oxidises carlactone to carlactonoic acid,1,10.1111/ppl.13681
Lateral Root Density,N058,MAX3,GENE,Strigolactone,HORMONE,1,activation,MAX3/CCD7 cleaves carotenoid precursor in SL biosynthesis,1,10.1111/ppl.13681
Lateral Root Density,N059,MAX4,GENE,Strigolactone,HORMONE,1,activation,MAX4/CCD8 second SL biosynthesis step,1,10.1111/ppl.13681
Lateral Root Density,N060,Strigolactone,HORMONE,D14,GENE,1,activation,SL binds D14 receptor for signaling,1,10.1111/ppl.13681
Lateral Root Density,N061,D14,GENE,Lateral_Root_Density,PHENOTYPE,-1,inhibition,D14 strigolactone receptor mediates SL-dependent LR inhibition,1,10.1111/ppl.13681
Lateral Root Density,N062,MAX2,GENE,Lateral_Root_Density,PHENOTYPE,-1,inhibition,MAX2 F-box integrates SL and karrikin signaling to inhibit LR,1,10.1111/ppl.13681
Lateral Root Density,N063,Brassinosteroid,HORMONE,BRI1,GENE,1,activation,BR binds BRI1 receptor kinase,1,10.1111/ppl.13681
Lateral Root Density,N064,BRI1,GENE,BIN2,GENE,-1,inhibition,BR-activated BRI1 inactivates BIN2 GSK3-like kinase,1,10.3389/fpls.2024.1387321
Lateral Root Density,N065,BIN2,GENE,BZR,PROTEIN_COMPLEX,-1,inhibition,BIN2 GSK3 kinase phosphorylates BZR1 for proteasomal degradation [Edge represents composite family; evidence drawn from curated E236 (BIN2->BZR1).],1,10.3389/fpls.2024.1387321
